kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-NQU.5.sm_62.ptx 44 : 24576 271360 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 211 : 1024 24700 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 165 : 24576 223136 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 221 : 512 12378 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 54 : 24576 268800 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 45 : 24576 289792 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 212 : 1024 24716 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 166 : 24576 152512 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 46 : 24576 323072 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 213 : 1024 9216 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 167 : 24576 154080 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 223 : 512 4608 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 56 : 24576 164352 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 47 : 24576 330752 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 214 : 1024 3072 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 168 : 24576 147456 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 224 : 512 1536 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 57 : 24576 255488 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 169 : 24576 86496 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 58 : 24576 206336 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 59 : 24576 205312 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 50 : 24576 376832 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 217 : 24576 123360 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 237 : 24576 123360 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 70 : 21 189 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 238 : 24576 147456 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 71 : 21 105 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 239 : 24576 121600 0 0 0 0 0 0 256 
ispass-2009-NQU.5.sm_62.ptx 72 : 21 189 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 173 : 8192 73728 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 174 : 8192 24576 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 178 : 24576 147456 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 179 : 24576 81920 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 181 : 8192 197088 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 187 : 24576 123360 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 182 : 8192 198112 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 183 : 8192 73728 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 184 : 8192 24576 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 188 : 24576 147456 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 189 : 24576 102400 0 0 0 0 0 0 256 
ispass-2009-NQU.5.sm_62.ptx 191 : 4096 98800 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 197 : 24576 123360 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 192 : 4096 98832 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 193 : 4096 36864 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 194 : 4096 12288 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 198 : 24576 147456 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 199 : 24576 112640 0 0 0 0 0 0 256 
ispass-2009-NQU.5.sm_62.ptx 201 : 2048 49400 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 73 : 21 126 0 2 1 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 241 : 256 1536 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 74 : 21 126 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 242 : 256 5903 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 75 : 21 189 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 55 : 24576 156160 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 222 : 512 12382 0 256 256 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 243 : 256 2304 0 0 0 0 0 0 0 
ispass-2009-NQU.5.sm_62.ptx 76 : 21 4074 0 0 0 3 1 0 0 
