kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LPS.5.sm_62.ptx 118 : 10000 90000 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 423 : 250000 2417488 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 86 : 7600 45600 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 89 : 7600 45600 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 426 : 250000 6465308 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 68 : 7600 68400 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 62 : 1200 7200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 736 : 320000 352688 0 0 0 0 0 0 2500 
ispass-2009-LPS.5.sm_62.ptx 99 : 12800 65280 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 436 : 250000 77573992 655072 0 0 36250 10000 0 0 
ispass-2009-LPS.5.sm_62.ptx 770 : 230496 2074467 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 61 : 1200 7200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 735 : 320000 1603648 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 432 : 250000 0 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 95 : 12800 65280 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 98 : 12800 115200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 435 : 250000 2253516 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 431 : 250000 1504092 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 94 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 97 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 434 : 250000 2252268 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 769 : 230496 2074496 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 60 : 1200 10800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 429 : 250000 2251128 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 92 : 12800 64000 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 430 : 250000 850464 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 93 : 12800 64000 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 96 : 12800 64640 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 768 : 230496 5579302 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 59 : 1200 7200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 428 : 250000 796252 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 760 : 230496 2074464 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 51 : 1200 6240 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 725 : 142200 468184 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 763 : 230496 2074528 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 54 : 6400 64000 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 759 : 230496 5580279 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 50 : 7600 35840 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 724 : 142200 457345 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 765 : 230496 5583995 0 9408 9408 0 0 0 0 
